Time,Distance_cm,Water_Percent,Pump
12:14:12,7,65,ON
12:14:13,7,65,ON
12:14:14,8,60,ON
12:14:14,8,60,ON
12:14:15,6,70,ON
12:14:16,7,65,ON
12:14:16,9,55,ON
12:14:17,15,25,ON
12:14:18,17,15,ON
12:14:18,17,15,ON
12:14:19,22,0,ON
12:14:20,18,10,ON
12:14:21,9,55,ON
12:14:21,8,60,ON
12:14:22,10,50,ON
12:14:23,11,45,ON
12:14:24,13,35,ON
13:01:18,4,80,OFF
13:01:18,4,80,OFF
13:01:19,5,75,OFF
13:01:19,4,80,OFF
13:01:19,5,75,OFF
13:01:20,4,80,OFF
13:01:20,5,75,OFF
13:01:20,6,70,OFF
13:01:21,7,65,OFF
13:01:21,8,60,OFF
13:01:21,10,50,OFF
13:01:22,12,40,OFF
13:01:22,13,35,OFF
13:01:22,10,50,OFF
13:01:23,7,65,OFF
13:01:23,5,75,OFF
13:01:23,4,80,OFF
13:01:24,4,80,OFF
13:01:24,10,50,OFF
13:01:24,4,80,OFF
13:01:25,4,80,OFF
13:01:25,3,85,OFF
13:01:25,3,85,OFF
13:01:26,3,85,OFF
13:01:26,3,85,OFF
13:01:26,4,80,OFF
13:01:27,4,80,OFF
13:01:27,3,85,OFF
13:01:27,3,85,OFF
13:01:28,3,85,OFF
13:01:28,3,85,OFF
13:01:28,4,80,OFF
13:01:29,4,80,OFF
13:01:29,4,80,OFF
13:01:29,4,80,OFF
13:01:30,4,80,OFF
13:01:30,5,75,OFF
13:01:30,5,75,OFF
13:01:31,4,80,OFF
13:01:31,7,65,OFF
13:01:31,12,40,OFF
13:01:32,13,35,OFF
13:01:32,7,65,OFF
13:01:32,3,85,OFF
13:01:33,3,85,OFF
13:01:33,3,85,OFF
13:01:33,7,65,OFF
13:01:34,7,65,OFF
13:01:34,2,90,OFF
13:01:34,3,85,OFF
13:01:35,2,90,OFF
13:01:35,2,90,OFF
13:01:35,2,90,OFF
13:01:36,2,90,OFF
13:01:36,2,90,OFF
13:01:36,2,90,OFF
13:01:37,2,90,OFF
13:01:37,2,90,OFF
13:01:37,2,90,OFF
13:01:38,2,90,OFF
13:01:38,4,80,OFF
13:01:38,7,65,OFF
13:01:39,11,45,OFF
13:01:39,11,45,OFF
13:01:39,13,35,OFF
13:01:40,16,20,ON
13:01:40,16,20,ON
13:01:40,16,20,ON
13:01:41,16,20,ON
13:01:41,16,20,ON
13:01:41,17,15,ON
13:01:42,17,15,ON
13:01:42,17,15,ON
13:01:42,17,15,ON
13:01:43,18,10,ON
13:01:43,13,35,ON
13:01:43,8,60,ON
13:01:44,7,65,ON
13:01:44,7,65,ON
13:01:44,7,65,ON
13:01:45,6,70,ON
13:01:45,5,75,ON
13:01:45,5,75,ON
13:01:46,5,75,ON
13:01:46,3,85,ON
13:01:46,1,95,OFF
13:01:47,2,90,OFF
13:01:47,2,90,OFF
13:01:47,2,90,OFF
13:01:48,1,95,OFF
13:01:48,2,90,OFF
13:01:48,3,85,OFF
13:01:49,3,85,OFF
13:01:49,2,90,OFF
13:01:49,3,85,OFF
13:01:50,3,85,OFF
13:01:50,3,85,OFF
13:01:50,3,85,OFF
13:01:51,3,85,OFF
13:01:51,3,85,OFF
13:01:51,3,85,OFF
13:01:52,2,90,OFF
13:01:52,2,90,OFF
13:01:52,2,90,OFF
13:01:53,2,90,OFF
13:01:53,2,90,OFF
13:01:53,2,90,OFF
13:01:54,2,90,OFF
13:01:54,2,90,OFF
13:01:54,2,90,OFF
13:01:55,2,90,OFF
13:01:55,2,90,OFF
13:01:55,3,85,OFF
13:01:56,2,90,OFF
13:01:56,2,90,OFF
13:01:56,2,90,OFF
13:01:57,2,90,OFF
13:01:57,2,90,OFF
13:01:57,2,90,OFF
13:01:58,2,90,OFF
